ENELEXT.ENEL_CAT_TVTA_IP_VENTA_TEMP;178
ENELEXT.ENEL_CAT_TVTA_RESUM_PAGO_TEMP;0
ENELEXT.ENEL_CODIGOPOSTAL_DTM;111
ENELEXT.ENEL_INCEN_TEMP_CESP;428
ENELEXT.ENEL_LIQSCAWEB_INF_TF;5
ENELEXT.ENEL_FICHERO_LIQUIDACION;1
ENELEXT.ENEL_ORDER_IMPU_TEMP_CETF;12
ENELEXT.ENEL_PDS_TEMP_CETF;15
ENELEXT.ENEL_DEPOSIT_TEMP_CAT_TVTA;81
ENELEXT.ENEL_DEPOSIT_TEMP_CESP;9
ENELEXT.ENEL_E4E_CONTRA_TEMP_CAT_TVTA;5083
ENELEXT.ENEL_PRODUCTOS_TEMP_TF;436
ENELEXT.ENEL_PROVEEDORES_TEMP_CAT_TVTA;421
ENELEXT.ENEL_CREDIT_TEMP_CETF;0
ENELEXT.ENEL_COMMISSION_TEMP_CEBP;0
ENELEXT.ENEL_OPERACIONES_UB_TEMP;1293
ENELEXT.ENEL_SERVICIOS_DTM;131
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_ALIADO;493
ENELEXT.ENEL_RAPPELES_ALIADO;49
ENELEXT.ENEL_E4E_NEGATIVOS_TMP2_ALIADO;256
ENELEXT.ENEL_TDM_ALIADOS;16758
ENELEXT.ENEL_RESELLER_TM;11255482
ENELEXT.ENEL_NEW_CONSECUCION_TEMP_OFV;12144
ENELEXT.ENEL_PDS_TEMP_CEIS_2;12
ENELEXT.ENEL_CREDIT_TEMP_CEBP_2;0
ENELEXT.ENEL_E4E_DEPOSIT_PTG_TEMP_2;2
ENELEXT.ENEL_TDM2_CCDD;1277
ENELEXT.ENEL_E4E_FINAL_CEBP;1544
ENELEXT.ENEL_CCC_CCDD;0
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_TF;607
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_TF_2;3743
ENELEXT.ENEL_ECO_INF;0
ENELEXT.ENEL_ENTRADA_TIPO_SUBTIPO;682
ENELEXT.ENEL_FACTCAT_TVTA_DEPOSITOS;2170
ENELEXT.ENEL_CAT_TVTA_AM;1
ENELEXT.ENEL_DEPOSIT_CTAS_CES_2;40
ENELEXT.ENEL_CRE_RICORRENTE_13M;13984
ENELEXT.ENEL_LIQSCAWEB_FINAL;9338509
